"","Nimba","RiverCess","RiverGee","Sinoe","Bomi","Bong","Gbarpolu","GrandCapeMount","GrandBassa","GrandGedeh","GrandKru","Lofa","Margibi","Maryland","Montserrado","Boffa","Boke","Fria","Conakry","Dabola","Dinguiraye","Faranah","Kissidougou","Kankan","Kerouane","Kouroussa","Siguiri","Coyah","Dubreka","Forecariah","Kindia","Telimele","Mali","Tougue","Dalaba","Pita","Beyla","Gueckedou","Lola","Macenta","Nzerekore","Yamou","Kailahun","Kenema","Kono","Bombali","Kambia","Koinadugu","PortLoko","Tonkolili","Bo","Bonthe","Moyamba","Pujehun","WesternRural","WesternUrban"
"GrandKru",-0.22051365876,-1.07736765225,-1.12609377668,-1.27163758864,0.080624097933,-0.235451190017,-1.37133590421,-0.527918369829,-0.468923829051,-1.18044762867,0,-0.515252482452,0.681570805408,0.110028045372,1.93986388587,-0.271876492392,-0.16279121347,0.255767572166,3.4660664504,-0.467742604161,-1.00132164164,-1.0534382496,-0.157159242509,-0.733571678695,-0.534189060853,-1.17909990583,-0.637813371593,0.4199440749,0.250886951429,0.469444942874,-0.000655139785474,-0.363132545245,-0.621594085655,-0.603632853826,0.0709796093943,0.0753410204181,-0.906155937946,0.941319502836,-0.0902850436409,0.115501862819,0.439743334456,0.451785012705,0.502050405007,0.430306720772,0.0915968568062,0.00620492116994,0.510337554032,-0.643170061191,0.48881882892,0.105747081649,0.499820283983,-0.179581006133,-0.267963063301,0.257968839446,2.13302768395,3.97301124531
"Lofa",-0.22051365876,-1.07736765225,-1.12609377668,-1.27163758864,0.080624097933,-0.235451190017,-1.37133590421,-0.527918369829,-0.468923829051,-1.18044762867,-0.897642311997,0,0.681570805408,0.110028045372,1.93986388587,-0.271876492392,-0.16279121347,0.255767572166,3.4660664504,-0.467742604161,-1.00132164164,-1.0534382496,-0.157159242509,-0.733571678695,-0.534189060853,-1.17909990583,-0.637813371593,0.4199440749,0.250886951429,0.469444942874,-0.000655139785474,-0.363132545245,-0.621594085655,-0.603632853826,0.0709796093943,0.0753410204181,-0.906155937946,0.941319502836,-0.0902850436409,0.115501862819,0.439743334456,0.451785012705,0.502050405007,0.430306720772,0.0915968568062,0.00620492116994,0.510337554032,-0.643170061191,0.48881882892,0.105747081649,0.499820283983,-0.179581006133,-0.267963063301,0.257968839446,2.13302768395,3.97301124531
"Margibi",-0.22051365876,-1.07736765225,-1.12609377668,-1.27163758864,0.080624097933,-0.235451190017,-1.37133590421,-0.527918369829,-0.468923829051,-1.18044762867,-0.897642311997,-0.515252482452,0,0.110028045372,1.93986388587,-0.271876492392,-0.16279121347,0.255767572166,3.4660664504,-0.467742604161,-1.00132164164,-1.0534382496,-0.157159242509,-0.733571678695,-0.534189060853,-1.17909990583,-0.637813371593,0.4199440749,0.250886951429,0.469444942874,-0.000655139785474,-0.363132545245,-0.621594085655,-0.603632853826,0.0709796093943,0.0753410204181,-0.906155937946,0.941319502836,-0.0902850436409,0.115501862819,0.439743334456,0.451785012705,0.502050405007,0.430306720772,0.0915968568062,0.00620492116994,0.510337554032,-0.643170061191,0.48881882892,0.105747081649,0.499820283983,-0.179581006133,-0.267963063301,0.257968839446,2.13302768395,3.97301124531
"Maryland",-0.22051365876,-1.07736765225,-1.12609377668,-1.27163758864,0.080624097933,-0.235451190017,-1.37133590421,-0.527918369829,-0.468923829051,-1.18044762867,-0.897642311997,-0.515252482452,0.681570805408,0,1.93986388587,-0.271876492392,-0.16279121347,0.255767572166,3.4660664504,-0.467742604161,-1.00132164164,-1.0534382496,-0.157159242509,-0.733571678695,-0.534189060853,-1.17909990583,-0.637813371593,0.4199440749,0.250886951429,0.469444942874,-0.000655139785474,-0.363132545245,-0.621594085655,-0.603632853826,0.0709796093943,0.0753410204181,-0.906155937946,0.941319502836,-0.0902850436409,0.115501862819,0.439743334456,0.451785012705,0.502050405007,0.430306720772,0.0915968568062,0.00620492116994,0.510337554032,-0.643170061191,0.48881882892,0.105747081649,0.499820283983,-0.179581006133,-0.267963063301,0.257968839446,2.13302768395,3.97301124531
"Montserrado",-0.22051365876,-1.07736765225,-1.12609377668,-1.27163758864,0.080624097933,-0.235451190017,-1.37133590421,-0.527918369829,-0.468923829051,-1.18044762867,-0.897642311997,-0.515252482452,0.681570805408,0.110028045372,0,-0.271876492392,-0.16279121347,0.255767572166,3.4660664504,-0.467742604161,-1.00132164164,-1.0534382496,-0.157159242509,-0.733571678695,-0.534189060853,-1.17909990583,-0.637813371593,0.4199440749,0.250886951429,0.469444942874,-0.000655139785474,-0.363132545245,-0.621594085655,-0.603632853826,0.0709796093943,0.0753410204181,-0.906155937946,0.941319502836,-0.0902850436409,0.115501862819,0.439743334456,0.451785012705,0.502050405007,0.430306720772,0.0915968568062,0.00620492116994,0.510337554032,-0.643170061191,0.48881882892,0.105747081649,0.499820283983,-0.179581006133,-0.267963063301,0.257968839446,2.13302768395,3.97301124531
"Boffa",-0.22051365876,-1.07736765225,-1.12609377668,-1.27163758864,0.080624097933,-0.235451190017,-1.37133590421,-0.527918369829,-0.468923829051,-1.18044762867,-0.897642311997,-0.515252482452,0.681570805408,0.110028045372,1.93986388587,0,-0.16279121347,0.255767572166,3.4660664504,-0.467742604161,-1.00132164164,-1.0534382496,-0.157159242509,-0.733571678695,-0.534189060853,-1.17909990583,-0.637813371593,0.4199440749,0.250886951429,0.469444942874,-0.000655139785474,-0.363132545245,-0.621594085655,-0.603632853826,0.0709796093943,0.0753410204181,-0.906155937946,0.941319502836,-0.0902850436409,0.115501862819,0.439743334456,0.451785012705,0.502050405007,0.430306720772,0.0915968568062,0.00620492116994,0.510337554032,-0.643170061191,0.48881882892,0.105747081649,0.499820283983,-0.179581006133,-0.267963063301,0.257968839446,2.13302768395,3.97301124531
"Boke",-0.22051365876,-1.07736765225,-1.12609377668,-1.27163758864,0.080624097933,-0.235451190017,-1.37133590421,-0.527918369829,-0.468923829051,-1.18044762867,-0.897642311997,-0.515252482452,0.681570805408,0.110028045372,1.93986388587,-0.271876492392,0,0.255767572166,3.4660664504,-0.467742604161,-1.00132164164,-1.0534382496,-0.157159242509,-0.733571678695,-0.534189060853,-1.17909990583,-0.637813371593,0.4199440749,0.250886951429,0.469444942874,-0.000655139785474,-0.363132545245,-0.621594085655,-0.603632853826,0.0709796093943,0.0753410204181,-0.906155937946,0.941319502836,-0.0902850436409,0.115501862819,0.439743334456,0.451785012705,0.502050405007,0.430306720772,0.0915968568062,0.00620492116994,0.510337554032,-0.643170061191,0.48881882892,0.105747081649,0.499820283983,-0.179581006133,-0.267963063301,0.257968839446,2.13302768395,3.97301124531
"Fria",-0.22051365876,-1.07736765225,-1.12609377668,-1.27163758864,0.080624097933,-0.235451190017,-1.37133590421,-0.527918369829,-0.468923829051,-1.18044762867,-0.897642311997,-0.515252482452,0.681570805408,0.110028045372,1.93986388587,-0.271876492392,-0.16279121347,0,3.4660664504,-0.467742604161,-1.00132164164,-1.0534382496,-0.157159242509,-0.733571678695,-0.534189060853,-1.17909990583,-0.637813371593,0.4199440749,0.250886951429,0.469444942874,-0.000655139785474,-0.363132545245,-0.621594085655,-0.603632853826,0.0709796093943,0.0753410204181,-0.906155937946,0.941319502836,-0.0902850436409,0.115501862819,0.439743334456,0.451785012705,0.502050405007,0.430306720772,0.0915968568062,0.00620492116994,0.510337554032,-0.643170061191,0.48881882892,0.105747081649,0.499820283983,-0.179581006133,-0.267963063301,0.257968839446,2.13302768395,3.97301124531
"Conakry",-0.22051365876,-1.07736765225,-1.12609377668,-1.27163758864,0.080624097933,-0.235451190017,-1.37133590421,-0.527918369829,-0.468923829051,-1.18044762867,-0.897642311997,-0.515252482452,0.681570805408,0.110028045372,1.93986388587,-0.271876492392,-0.16279121347,0.255767572166,0,-0.467742604161,-1.00132164164,-1.0534382496,-0.157159242509,-0.733571678695,-0.534189060853,-1.17909990583,-0.637813371593,0.4199440749,0.250886951429,0.469444942874,-0.000655139785474,-0.363132545245,-0.621594085655,-0.603632853826,0.0709796093943,0.0753410204181,-0.906155937946,0.941319502836,-0.0902850436409,0.115501862819,0.439743334456,0.451785012705,0.502050405007,0.430306720772,0.0915968568062,0.00620492116994,0.510337554032,-0.643170061191,0.48881882892,0.105747081649,0.499820283983,-0.179581006133,-0.267963063301,0.257968839446,2.13302768395,3.97301124531
"Dabola",-0.22051365876,-1.07736765225,-1.12609377668,-1.27163758864,0.080624097933,-0.235451190017,-1.37133590421,-0.527918369829,-0.468923829051,-1.18044762867,-0.897642311997,-0.515252482452,0.681570805408,0.110028045372,1.93986388587,-0.271876492392,-0.16279121347,0.255767572166,3.4660664504,0,-1.00132164164,-1.0534382496,-0.157159242509,-0.733571678695,-0.534189060853,-1.17909990583,-0.637813371593,0.4199440749,0.250886951429,0.469444942874,-0.000655139785474,-0.363132545245,-0.621594085655,-0.603632853826,0.0709796093943,0.0753410204181,-0.906155937946,0.941319502836,-0.0902850436409,0.115501862819,0.439743334456,0.451785012705,0.502050405007,0.430306720772,0.0915968568062,0.00620492116994,0.510337554032,-0.643170061191,0.48881882892,0.105747081649,0.499820283983,-0.179581006133,-0.267963063301,0.257968839446,2.13302768395,3.97301124531
"Dinguiraye",-0.22051365876,-1.07736765225,-1.12609377668,-1.27163758864,0.080624097933,-0.235451190017,-1.37133590421,-0.527918369829,-0.468923829051,-1.18044762867,-0.897642311997,-0.515252482452,0.681570805408,0.110028045372,1.93986388587,-0.271876492392,-0.16279121347,0.255767572166,3.4660664504,-0.467742604161,0,-1.0534382496,-0.157159242509,-0.733571678695,-0.534189060853,-1.17909990583,-0.637813371593,0.4199440749,0.250886951429,0.469444942874,-0.000655139785474,-0.363132545245,-0.621594085655,-0.603632853826,0.0709796093943,0.0753410204181,-0.906155937946,0.941319502836,-0.0902850436409,0.115501862819,0.439743334456,0.451785012705,0.502050405007,0.430306720772,0.0915968568062,0.00620492116994,0.510337554032,-0.643170061191,0.48881882892,0.105747081649,0.499820283983,-0.179581006133,-0.267963063301,0.257968839446,2.13302768395,3.97301124531
"Faranah",-0.22051365876,-1.07736765225,-1.12609377668,-1.27163758864,0.080624097933,-0.235451190017,-1.37133590421,-0.527918369829,-0.468923829051,-1.18044762867,-0.897642311997,-0.515252482452,0.681570805408,0.110028045372,1.93986388587,-0.271876492392,-0.16279121347,0.255767572166,3.4660664504,-0.467742604161,-1.00132164164,0,-0.157159242509,-0.733571678695,-0.534189060853,-1.17909990583,-0.637813371593,0.4199440749,0.250886951429,0.469444942874,-0.000655139785474,-0.363132545245,-0.621594085655,-0.603632853826,0.0709796093943,0.0753410204181,-0.906155937946,0.941319502836,-0.0902850436409,0.115501862819,0.439743334456,0.451785012705,0.502050405007,0.430306720772,0.0915968568062,0.00620492116994,0.510337554032,-0.643170061191,0.48881882892,0.105747081649,0.499820283983,-0.179581006133,-0.267963063301,0.257968839446,2.13302768395,3.97301124531
"Kissidougou",-0.22051365876,-1.07736765225,-1.12609377668,-1.27163758864,0.080624097933,-0.235451190017,-1.37133590421,-0.527918369829,-0.468923829051,-1.18044762867,-0.897642311997,-0.515252482452,0.681570805408,0.110028045372,1.93986388587,-0.271876492392,-0.16279121347,0.255767572166,3.4660664504,-0.467742604161,-1.00132164164,-1.0534382496,0,-0.733571678695,-0.534189060853,-1.17909990583,-0.637813371593,0.4199440749,0.250886951429,0.469444942874,-0.000655139785474,-0.363132545245,-0.621594085655,-0.603632853826,0.0709796093943,0.0753410204181,-0.906155937946,0.941319502836,-0.0902850436409,0.115501862819,0.439743334456,0.451785012705,0.502050405007,0.430306720772,0.0915968568062,0.00620492116994,0.510337554032,-0.643170061191,0.48881882892,0.105747081649,0.499820283983,-0.179581006133,-0.267963063301,0.257968839446,2.13302768395,3.97301124531
"Kankan",-0.22051365876,-1.07736765225,-1.12609377668,-1.27163758864,0.080624097933,-0.235451190017,-1.37133590421,-0.527918369829,-0.468923829051,-1.18044762867,-0.897642311997,-0.515252482452,0.681570805408,0.110028045372,1.93986388587,-0.271876492392,-0.16279121347,0.255767572166,3.4660664504,-0.467742604161,-1.00132164164,-1.0534382496,-0.157159242509,0,-0.534189060853,-1.17909990583,-0.637813371593,0.4199440749,0.250886951429,0.469444942874,-0.000655139785474,-0.363132545245,-0.621594085655,-0.603632853826,0.0709796093943,0.0753410204181,-0.906155937946,0.941319502836,-0.0902850436409,0.115501862819,0.439743334456,0.451785012705,0.502050405007,0.430306720772,0.0915968568062,0.00620492116994,0.510337554032,-0.643170061191,0.48881882892,0.105747081649,0.499820283983,-0.179581006133,-0.267963063301,0.257968839446,2.13302768395,3.97301124531
"Kerouane",-0.22051365876,-1.07736765225,-1.12609377668,-1.27163758864,0.080624097933,-0.235451190017,-1.37133590421,-0.527918369829,-0.468923829051,-1.18044762867,-0.897642311997,-0.515252482452,0.681570805408,0.110028045372,1.93986388587,-0.271876492392,-0.16279121347,0.255767572166,3.4660664504,-0.467742604161,-1.00132164164,-1.0534382496,-0.157159242509,-0.733571678695,0,-1.17909990583,-0.637813371593,0.4199440749,0.250886951429,0.469444942874,-0.000655139785474,-0.363132545245,-0.621594085655,-0.603632853826,0.0709796093943,0.0753410204181,-0.906155937946,0.941319502836,-0.0902850436409,0.115501862819,0.439743334456,0.451785012705,0.502050405007,0.430306720772,0.0915968568062,0.00620492116994,0.510337554032,-0.643170061191,0.48881882892,0.105747081649,0.499820283983,-0.179581006133,-0.267963063301,0.257968839446,2.13302768395,3.97301124531
"Kouroussa",-0.22051365876,-1.07736765225,-1.12609377668,-1.27163758864,0.080624097933,-0.235451190017,-1.37133590421,-0.527918369829,-0.468923829051,-1.18044762867,-0.897642311997,-0.515252482452,0.681570805408,0.110028045372,1.93986388587,-0.271876492392,-0.16279121347,0.255767572166,3.4660664504,-0.467742604161,-1.00132164164,-1.0534382496,-0.157159242509,-0.733571678695,-0.534189060853,0,-0.637813371593,0.4199440749,0.250886951429,0.469444942874,-0.000655139785474,-0.363132545245,-0.621594085655,-0.603632853826,0.0709796093943,0.0753410204181,-0.906155937946,0.941319502836,-0.0902850436409,0.115501862819,0.439743334456,0.451785012705,0.502050405007,0.430306720772,0.0915968568062,0.00620492116994,0.510337554032,-0.643170061191,0.48881882892,0.105747081649,0.499820283983,-0.179581006133,-0.267963063301,0.257968839446,2.13302768395,3.97301124531
"Siguiri",-0.22051365876,-1.07736765225,-1.12609377668,-1.27163758864,0.080624097933,-0.235451190017,-1.37133590421,-0.527918369829,-0.468923829051,-1.18044762867,-0.897642311997,-0.515252482452,0.681570805408,0.110028045372,1.93986388587,-0.271876492392,-0.16279121347,0.255767572166,3.4660664504,-0.467742604161,-1.00132164164,-1.0534382496,-0.157159242509,-0.733571678695,-0.534189060853,-1.17909990583,0,0.4199440749,0.250886951429,0.469444942874,-0.000655139785474,-0.363132545245,-0.621594085655,-0.603632853826,0.0709796093943,0.0753410204181,-0.906155937946,0.941319502836,-0.0902850436409,0.115501862819,0.439743334456,0.451785012705,0.502050405007,0.430306720772,0.0915968568062,0.00620492116994,0.510337554032,-0.643170061191,0.48881882892,0.105747081649,0.499820283983,-0.179581006133,-0.267963063301,0.257968839446,2.13302768395,3.97301124531
"Coyah",-0.22051365876,-1.07736765225,-1.12609377668,-1.27163758864,0.080624097933,-0.235451190017,-1.37133590421,-0.527918369829,-0.468923829051,-1.18044762867,-0.897642311997,-0.515252482452,0.681570805408,0.110028045372,1.93986388587,-0.271876492392,-0.16279121347,0.255767572166,3.4660664504,-0.467742604161,-1.00132164164,-1.0534382496,-0.157159242509,-0.733571678695,-0.534189060853,-1.17909990583,-0.637813371593,0,0.250886951429,0.469444942874,-0.000655139785474,-0.363132545245,-0.621594085655,-0.603632853826,0.0709796093943,0.0753410204181,-0.906155937946,0.941319502836,-0.0902850436409,0.115501862819,0.439743334456,0.451785012705,0.502050405007,0.430306720772,0.0915968568062,0.00620492116994,0.510337554032,-0.643170061191,0.48881882892,0.105747081649,0.499820283983,-0.179581006133,-0.267963063301,0.257968839446,2.13302768395,3.97301124531
"Dubreka",-0.22051365876,-1.07736765225,-1.12609377668,-1.27163758864,0.080624097933,-0.235451190017,-1.37133590421,-0.527918369829,-0.468923829051,-1.18044762867,-0.897642311997,-0.515252482452,0.681570805408,0.110028045372,1.93986388587,-0.271876492392,-0.16279121347,0.255767572166,3.4660664504,-0.467742604161,-1.00132164164,-1.0534382496,-0.157159242509,-0.733571678695,-0.534189060853,-1.17909990583,-0.637813371593,0.4199440749,0,0.469444942874,-0.000655139785474,-0.363132545245,-0.621594085655,-0.603632853826,0.0709796093943,0.0753410204181,-0.906155937946,0.941319502836,-0.0902850436409,0.115501862819,0.439743334456,0.451785012705,0.502050405007,0.430306720772,0.0915968568062,0.00620492116994,0.510337554032,-0.643170061191,0.48881882892,0.105747081649,0.499820283983,-0.179581006133,-0.267963063301,0.257968839446,2.13302768395,3.97301124531
"Forecariah",-0.22051365876,-1.07736765225,-1.12609377668,-1.27163758864,0.080624097933,-0.235451190017,-1.37133590421,-0.527918369829,-0.468923829051,-1.18044762867,-0.897642311997,-0.515252482452,0.681570805408,0.110028045372,1.93986388587,-0.271876492392,-0.16279121347,0.255767572166,3.4660664504,-0.467742604161,-1.00132164164,-1.0534382496,-0.157159242509,-0.733571678695,-0.534189060853,-1.17909990583,-0.637813371593,0.4199440749,0.250886951429,0,-0.000655139785474,-0.363132545245,-0.621594085655,-0.603632853826,0.0709796093943,0.0753410204181,-0.906155937946,0.941319502836,-0.0902850436409,0.115501862819,0.439743334456,0.451785012705,0.502050405007,0.430306720772,0.0915968568062,0.00620492116994,0.510337554032,-0.643170061191,0.48881882892,0.105747081649,0.499820283983,-0.179581006133,-0.267963063301,0.257968839446,2.13302768395,3.97301124531
"Kindia",-0.22051365876,-1.07736765225,-1.12609377668,-1.27163758864,0.080624097933,-0.235451190017,-1.37133590421,-0.527918369829,-0.468923829051,-1.18044762867,-0.897642311997,-0.515252482452,0.681570805408,0.110028045372,1.93986388587,-0.271876492392,-0.16279121347,0.255767572166,3.4660664504,-0.467742604161,-1.00132164164,-1.0534382496,-0.157159242509,-0.733571678695,-0.534189060853,-1.17909990583,-0.637813371593,0.4199440749,0.250886951429,0.469444942874,0,-0.363132545245,-0.621594085655,-0.603632853826,0.0709796093943,0.0753410204181,-0.906155937946,0.941319502836,-0.0902850436409,0.115501862819,0.439743334456,0.451785012705,0.502050405007,0.430306720772,0.0915968568062,0.00620492116994,0.510337554032,-0.643170061191,0.48881882892,0.105747081649,0.499820283983,-0.179581006133,-0.267963063301,0.257968839446,2.13302768395,3.97301124531
